ticker,score_total,qualidade,valuation,dividendos,crescimento,seguranca,peso_pct,classificacao,motivos,pontos_fortes,pontos_fracos
CYRE3,72.8,84.2,65.7,80.0,50.0,84.4,2.1,Elite,ROE acima da média (0.21 vs ref 0.12); Margem Líquida acima da média (0.21 vs ref 0.08); P/L abaixo da média (4.81 vs ref 15.00); P/VP abaixo da média (0.89 vs ref 1.50); Dividend Yield acima da média (0.18 vs ref 0.04); Endividamento abaixo da média (0.75 vs ref 1.00); Liquidez Corrente acima da média (3.78 vs ref 1.50),ROE acima da média (0.21 vs ref 0.12); Margem Líquida acima da média (0.21 vs ref 0.08); P/L abaixo da média (4.81 vs ref 15.00); P/VP abaixo da média (0.89 vs ref 1.50); Dividend Yield acima da média (0.18 vs ref 0.04),
PETR4,69.4,90.2,76.2,51.8,76.7,39.6,2.0,Elite,ROE acima da média (0.26 vs ref 0.12); Margem Líquida acima da média (0.22 vs ref 0.08); P/L abaixo da média (4.82 vs ref 15.00); P/VP abaixo da média (1.13 vs ref 1.50); Dividend Yield acima da média (0.10 vs ref 0.04); Crescimento Lucro acima da média (0.22 vs ref 0.05); Endividamento na média (0.83); Liquidez Corrente abaixo da média (0.74 vs ref 1.50),ROE acima da média (0.26 vs ref 0.12); Margem Líquida acima da média (0.22 vs ref 0.08); P/L abaixo da média (4.82 vs ref 15.00); P/VP abaixo da média (1.13 vs ref 1.50); Dividend Yield acima da média (0.10 vs ref 0.04),Liquidez Corrente abaixo da média (0.74 vs ref 1.50)
ITSA4,65.7,85.3,39.9,80.0,45.8,74.7,2.0,Elite,ROE acima da média (0.18 vs ref 0.12); Margem Líquida acima da média (2.03 vs ref 0.08); P/L abaixo da média (8.42 vs ref 15.00); P/VP na média (1.61); Dividend Yield acima da média (0.75 vs ref 0.04); Crescimento Lucro abaixo da média (-0.06 vs ref 0.05); Endividamento abaixo da média (0.13 vs ref 1.00); Liquidez Corrente acima da média (2.38 vs ref 1.50),ROE acima da média (0.18 vs ref 0.12); Margem Líquida acima da média (2.03 vs ref 0.08); P/L abaixo da média (8.42 vs ref 15.00); Dividend Yield acima da média (0.75 vs ref 0.04); Endividamento abaixo da média (0.13 vs ref 1.00),P/VP na média (1.61); Crescimento Lucro abaixo da média (-0.06 vs ref 0.05)
CEAB3,61.7,71.9,79.1,48.9,50.0,54.3,2.0,Elite,ROE acima da média (0.17 vs ref 0.12); Margem Líquida na média (0.07); P/L abaixo da média (5.21 vs ref 15.00); P/VP abaixo da média (0.80 vs ref 1.50); Dividend Yield acima da média (0.09 vs ref 0.04); Endividamento abaixo da média (0.74 vs ref 1.00); Liquidez Corrente na média (1.67),ROE acima da média (0.17 vs ref 0.12); P/L abaixo da média (5.21 vs ref 15.00); P/VP abaixo da média (0.80 vs ref 1.50); Dividend Yield acima da média (0.09 vs ref 0.04); Endividamento abaixo da média (0.74 vs ref 1.00),Margem Líquida na média (0.07)
BBSE3,61.2,100.0,40.5,66.0,32.8,55.8,2.0,Elite,ROE acima da média (0.76 vs ref 0.12); Margem Líquida acima da média (0.88 vs ref 0.08); P/L abaixo da média (8.15 vs ref 15.00); P/VP acima da média (5.93 vs ref 1.50); Dividend Yield acima da média (0.14 vs ref 0.04); Crescimento Lucro abaixo da média (-0.12 vs ref 0.05); Liquidez Corrente acima da média (2.45 vs ref 1.50),ROE acima da média (0.76 vs ref 0.12); Margem Líquida acima da média (0.88 vs ref 0.08); P/L abaixo da média (8.15 vs ref 15.00); Dividend Yield acima da média (0.14 vs ref 0.04); Liquidez Corrente acima da média (2.45 vs ref 1.50),P/VP acima da média (5.93 vs ref 1.50); Crescimento Lucro abaixo da média (-0.12 vs ref 0.05)
COGN3,60.9,57.4,78.6,44.3,66.1,58.5,2.0,Elite,ROE abaixo da média (0.05 vs ref 0.12); Margem Líquida na média (0.09); P/L abaixo da média (6.91 vs ref 15.00); P/VP abaixo da média (0.35 vs ref 1.50); Dividend Yield acima da média (0.08 vs ref 0.04); Crescimento Lucro acima da média (0.41 vs ref 0.05); Endividamento abaixo da média (0.48 vs ref 1.00); Liquidez Corrente na média (1.65),Margem Líquida na média (0.09); P/L abaixo da média (6.91 vs ref 15.00); P/VP abaixo da média (0.35 vs ref 1.50); Dividend Yield acima da média (0.08 vs ref 0.04); Crescimento Lucro acima da média (0.41 vs ref 0.05),ROE abaixo da média (0.05 vs ref 0.12)
DIRR3,60.5,94.1,38.6,80.0,7.7,78.3,2.0,Excelente,ROE acima da média (0.43 vs ref 0.12); Margem Líquida acima da média (0.18 vs ref 0.08); P/L abaixo da média (8.64 vs ref 15.00); P/VP acima da média (3.72 vs ref 1.50); Dividend Yield acima da média (0.19 vs ref 0.04); Crescimento Lucro abaixo da média (-0.38 vs ref 0.05); Endividamento acima da média (1.30 vs ref 1.00); Liquidez Corrente acima da média (4.26 vs ref 1.50),ROE acima da média (0.43 vs ref 0.12); Margem Líquida acima da média (0.18 vs ref 0.08); P/L abaixo da média (8.64 vs ref 15.00); Dividend Yield acima da média (0.19 vs ref 0.04); Liquidez Corrente acima da média (4.26 vs ref 1.50),P/VP acima da média (3.72 vs ref 1.50); Crescimento Lucro abaixo da média (-0.38 vs ref 0.05); Endividamento acima da média (1.30 vs ref 1.00)
CMIN3,60.1,85.9,42.1,70.2,50.0,41.0,2.0,Excelente,ROE acima da média (0.26 vs ref 0.12); Margem Líquida acima da média (0.13 vs ref 0.08); P/L abaixo da média (10.49 vs ref 15.00); P/VP acima da média (3.50 vs ref 1.50); Dividend Yield acima da média (0.15 vs ref 0.04); Endividamento acima da média (1.29 vs ref 1.00); Liquidez Corrente na média (1.37),ROE acima da média (0.26 vs ref 0.12); Margem Líquida acima da média (0.13 vs ref 0.08); P/L abaixo da média (10.49 vs ref 15.00); Dividend Yield acima da média (0.15 vs ref 0.04),P/VP acima da média (3.50 vs ref 1.50); Endividamento acima da média (1.29 vs ref 1.00); Liquidez Corrente na média (1.37)
MGLU3,59.9,48.7,49.8,80.0,74.0,46.3,2.0,Excelente,ROE abaixo da média (0.01 vs ref 0.12); Margem Líquida abaixo da média (0.00 vs ref 0.08); P/L acima da média (25.89 vs ref 15.00); P/VP abaixo da média (0.32 vs ref 1.50); Dividend Yield acima da média (0.56 vs ref 0.04); Crescimento Lucro acima da média (1.19 vs ref 0.05); Endividamento abaixo da média (0.76 vs ref 1.00); Liquidez Corrente abaixo da média (1.13 vs ref 1.50),P/VP abaixo da média (0.32 vs ref 1.50); Dividend Yield acima da média (0.56 vs ref 0.04); Crescimento Lucro acima da média (1.19 vs ref 0.05); Endividamento abaixo da média (0.76 vs ref 1.00),ROE abaixo da média (0.01 vs ref 0.12); Margem Líquida abaixo da média (0.00 vs ref 0.08); P/L acima da média (25.89 vs ref 15.00); Liquidez Corrente abaixo da média (1.13 vs ref 1.50)
CMIG4,58.3,74.2,69.1,58.8,37.3,44.6,2.0,Excelente,ROE acima da média (0.17 vs ref 0.12); Margem Líquida acima da média (0.11 vs ref 0.08); P/L abaixo da média (6.25 vs ref 15.00); P/VP abaixo da média (1.08 vs ref 1.50); Dividend Yield acima da média (0.12 vs ref 0.04); Crescimento Lucro abaixo da média (-0.06 vs ref 0.05); Endividamento abaixo da média (0.69 vs ref 1.00); Liquidez Corrente abaixo da média (0.93 vs ref 1.50),ROE acima da média (0.17 vs ref 0.12); Margem Líquida acima da média (0.11 vs ref 0.08); P/L abaixo da média (6.25 vs ref 15.00); P/VP abaixo da média (1.08 vs ref 1.50); Dividend Yield acima da média (0.12 vs ref 0.04),Crescimento Lucro abaixo da média (-0.06 vs ref 0.05); Liquidez Corrente abaixo da média (0.93 vs ref 1.50)
