ticker,score,qualidade,valuation,dividendos,crescimento,seguranca,peso,classificacao
CYRE3,72.8,84.2,65.7,80.0,50.0,84.4,2.1,
PETR4,69.4,90.2,76.2,51.8,76.7,39.6,2.0,
ITSA4,65.7,85.3,39.9,80.0,45.8,74.7,2.0,
CEAB3,61.7,71.9,79.1,48.9,50.0,54.3,2.0,
BBSE3,61.2,100.0,40.5,66.0,32.8,55.8,2.0,
COGN3,60.9,57.4,78.6,44.3,66.1,58.5,2.0,
DIRR3,60.5,94.1,38.6,80.0,7.7,78.3,2.0,
CMIN3,60.1,85.9,42.1,70.2,50.0,41.0,2.0,
MGLU3,59.9,48.7,49.8,80.0,74.0,46.3,2.0,
CMIG4,58.3,74.2,69.1,58.8,37.3,44.6,2.0,
BBAS3,57.5,,,,,,2.0,
AZZA3,56.4,,,,,,2.0,
GGBR4,54.9,,,,,,2.0,
LREN3,54.8,,,,,,2.0,
VALE3,54.5,,,,,,2.0,
BBDC4,53.1,,,,,,2.0,
B3SA3,52.5,,,,,,2.0,
VAMO3,52.5,,,,,,2.0,
RAIL3,52.4,,,,,,2.0,
RCSL4,52.3,,,,,,2.0,
USIM5,51.3,,,,,,2.0,
SAUD3,49.5,,,,,,2.0,
ITUB4,49.4,,,,,,2.0,
GOAU4,49.2,,,,,,2.0,
VBBR3,49.1,,,,,,2.0,
MOTV3,49.0,,,,,,2.0,
AMBP3,48.0,,,,,,2.0,
AXIA3,47.7,,,,,,2.0,
NATU3,47.7,,,,,,2.0,
TIMS3,47.6,,,,,,2.0,
ALOS3,46.3,,,,,,2.0,
SBSP3,45.6,,,,,,2.0,
ANIM3,45.4,,,,,,2.0,
BPAC11,45.4,,,,,,2.0,
CSMG3,44.4,,,,,,2.0,
BEEF3,44.2,,,,,,2.0,
SMFT3,44.1,,,,,,2.0,
KLBN11,43.3,,,,,,2.0,
CPLE3,42.4,,,,,,2.0,
RENT3,42.3,,,,,,2.0,
EQTL3,42.2,,,,,,2.0,
ASAI3,41.5,,,,,,2.0,
CSNA3,40.4,,,,,,2.0,
ABEV3,38.2,,,,,,2.0,
CVCB3,38.1,,,,,,2.0,
RADL3,37.3,,,,,,2.0,
CSAN3,34.5,,,,,,2.0,
RAIZ4,24.3,,,,,,2.0,
BRKM5,22.7,,,,,,2.0,
ONCO3,17.7,,,,,,2.0,
